apple আপেল
book বই
cat বিড়াল
dog কুকুর
egg ডিম
fish মাছ
goat ছাগল
hat টুপি
ice বরফ
jam জ্যাম
kite ঘুড়ি
lamp বাতি
man মানুষ
nose নাক
owl পেঁচা
pen কলম
queen রাণী
rat ইঁদুর
sun সূর্য
tree গাছ
umbrella ছাতা
van ভ্যান
water পানি
xray এক্সরে
yarn সুতা
zebra জেব্রা
air বাতাস
ball বল
cake কেক
door দরজা
earth পৃথিবী
flower ফুল
girl মেয়ে
house বাড়ি
ink কালি
juice রস
key চাবি
leaf পাতা
moon চাঁদ
night রাত
orange কমলা
paper কাগজ
river নদী
star তারা
table টেবিল
uncle চাচা
village গ্রাম
window জানালা
year বছর
zero শূন্য
bread রুটি
butter মাখন
chair চেয়ার
cloud মেঘ
cow গরু
cup কাপ
day দিন
desk ডেস্ক
eye চোখ
fan পাখা
fire আগুন
food খাবার
friend বন্ধু
glass গ্লাস
hand হাত
head মাথা
hill পাহাড়
horse ঘোড়া
island দ্বীপ
job কাজ
king রাজা
lion সিংহ
milk দুধ
money টাকা
mother মা
name নাম
office অফিস
parent বাবা-মা
phone ফোন
picture ছবি
road রাস্তা
school স্কুল
shirt শার্ট
shoe জুতা
sister বোন
son ছেলে
sugar চিনি
tea চা
train ট্রেন
watch ঘড়ি
wife স্ত্রী
writer লেখক
actor অভিনেতা
army সেনাবাহিনী
baby শিশু
bank ব্যাংক
beach সমুদ্রসৈকত
bird পাখি
brother ভাই
bus বাস
city শহর
doctor ডাক্তার
driver চালক
enemy শত্রু
engine ইঞ্জিন
family পরিবার
farmer কৃষক
forest বন
game খেলা
garden বাগান
guest অতিথি
health স্বাস্থ্য
hotel হোটেল
idea ধারণা
judge বিচারক
knife ছুরি
law আইন
market বাজার
memory স্মৃতি
music সঙ্গীত
nation জাতি
noise শব্দ
police পুলিশ
power ক্ষমতা
price দাম
rain বৃষ্টি
room ঘর
science বিজ্ঞান
sea সমুদ্র
skill দক্ষতা
soldier সৈনিক
sound শব্দ
story গল্প
student ছাত্র
teacher শিক্ষক
time সময়
tool যন্ত্র
truth সত্য
voice কণ্ঠ
war যুদ্ধ
wind বাতাস
work কাজ
world পৃথিবী
accident দুর্ঘটনা
answer উত্তর
battle যুদ্ধ
beauty সৌন্দর্য
belief বিশ্বাস
blood রক্ত
brain মস্তিষ্ক
choice পছন্দ
culture সংস্কৃতি
danger বিপদ
death মৃত্যু
dream স্বপ্ন
education শিক্ষা
energy শক্তি
faith বিশ্বাস
fear ভয়
future ভবিষ্যৎ
history ইতিহাস
honesty সততা
hope আশা
human মানুষ
knowledge জ্ঞান
language ভাষা
leader নেতা
life জীবন
love ভালোবাসা
mind মন
nature প্রকৃতি
peace শান্তি
people মানুষ
problem সমস্যা
purpose উদ্দেশ্য
reason কারণ
respect সম্মান
society সমাজ
success সাফল্য
thought চিন্তা
tradition ঐতিহ্য
value মূল্য
victory বিজয়
wisdom প্রজ্ঞা
youth যুবক
ability ক্ষমতা
action কাজ
agreement চুক্তি
attention মনোযোগ
authority কর্তৃত্ব
background পটভূমি
balance ভারসাম্য
behavior আচরণ
benefit সুবিধা
career পেশা
communication যোগাযোগ
confidence আত্মবিশ্বাস
decision সিদ্ধান্ত
development উন্নয়ন
direction দিক
experience অভিজ্ঞতা
freedom স্বাধীনতা
imagination কল্পনা
importance গুরুত্ব
information তথ্য
interest আগ্রহ
management ব্যবস্থাপনা
movement আন্দোলন
opportunity সুযোগ
organization সংগঠন
performance কার্যক্ষমতা
population জনসংখ্যা
quality গুণমান
relationship সম্পর্ক
responsibility দায়িত্ব
security নিরাপত্তা
situation পরিস্থিতি
strategy কৌশল
technology প্রযুক্তি
understanding বোঝাপড়া
environment পরিবেশ
government সরকার
education শিক্ষা
literature সাহিত্য
philosophy দর্শন
psychology মনোবিজ্ঞান
economy অর্থনীতি
politics রাজনীতি
religion ধর্ম
culture সংস্কৃতি
history ইতিহাস
geography ভূগোল
mathematics গণিত
physics পদার্থবিজ্ঞান
chemistry রসায়ন
biology জীববিজ্ঞান
computer কম্পিউটার
internet ইন্টারনেট
software সফটওয়্যার
hardware হার্ডওয়্যার
network নেটওয়ার্ক
database ডাটাবেস
algorithm অ্যালগরিদম
program প্রোগ্রাম
language ভাষা
variable চলক
function ফাংশন
array অ্যারে
stack স্ট্যাক
queue কিউ
tree ট্রি
graph গ্রাফ
search অনুসন্ধান
sort সাজানো
insert প্রবেশ
delete মুছে ফেলা
update হালনাগাদ
memory স্মৃতি
process প্রক্রিয়া
thread থ্রেড
system সিস্টেম
file ফাইল
input ইনপুট
output আউটপুট
error ত্রুটি
debug ডিবাগ
compile কম্পাইল
execute চালানো
